<TICKER>,<PER>,<DTYYYYMMDD>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
FPT,D,20070509,000000,17170.0000,17170.0000,17170.0000,17170.0000,104100,0
FPT,D,20070510,000000,18030.0000,18030.0000,18030.0000,18030.0000,131160,0
FPT,D,20070511,000000,18920.0000,18920.0000,18920.0000,18920.0000,165950,0
FPT,D,20070514,000000,19850.0000,19850.0000,19850.0000,19850.0000,190090,0
FPT,D,20070515,000000,18890.0000,18890.0000,18890.0000,18890.0000,76860,0
FPT,D,20070516,000000,18720.0000,18720.0000,18270.0000,18270.0000,125520,0
FPT,D,20070517,000000,18030.0000,19130.0000,18030.0000,19130.0000,153220,0
FPT,D,20070518,000000,18890.0000,18890.0000,18580.0000,18580.0000,146660,0
FPT,D,20070521,000000,19480.0000,19480.0000,19170.0000,19170.0000,283500,0
FPT,D,20070522,000000,19070.0000,19170.0000,19070.0000,19170.0000,241370,0
FPT,D,20070523,000000,19170.0000,19170.0000,19070.0000,19070.0000,274270,0
FPT,D,20070524,000000,18810.0000,18810.0000,18560.0000,18560.0000,173140,0
FPT,D,20070525,000000,18300.0000,18450.0000,18300.0000,18450.0000,203300,0
FPT,D,20070528,000000,18350.0000,18400.0000,18350.0000,18400.0000,176850,0
FPT,D,20070529,000000,18040.0000,18040.0000,17890.0000,17890.0000,186180,0
FPT,D,20070530,000000,17520.0000,18040.0000,17520.0000,18040.0000,204950,0
FPT,D,20070531,000000,18040.0000,18040.0000,17990.0000,17990.0000,165090,0
FPT,D,20070601,000000,17940.0000,17940.0000,17780.0000,17780.0000,92630,0
FPT,D,20070604,000000,17520.0000,17520.0000,17520.0000,17520.0000,175240,0
FPT,D,20070605,000000,17010.0000,17010.0000,16650.0000,16650.0000,200960,0
FPT,D,20070606,000000,16650.0000,17010.0000,16650.0000,17010.0000,166220,0
FPT,D,20070607,000000,17270.0000,17420.0000,17270.0000,17420.0000,88290,0
FPT,D,20070608,000000,17270.0000,17270.0000,17010.0000,17010.0000,164370,0
FPT,D,20070611,000000,16490.0000,16490.0000,16490.0000,16490.0000,147860,0
FPT,D,20070612,000000,16490.0000,16490.0000,16440.0000,16440.0000,149160,0
FPT,D,20070613,000000,15880.0000,15880.0000,15770.0000,15770.0000,426060,0
FPT,D,20070614,000000,15670.0000,15720.0000,15670.0000,15720.0000,439470,0
FPT,D,20070615,000000,15720.0000,15980.0000,15720.0000,15980.0000,284560,0
FPT,D,20070618,000000,16240.0000,16240.0000,15770.0000,15770.0000,276180,0
FPT,D,20070619,000000,15620.0000,15770.0000,15620.0000,15770.0000,299170,0
FPT,D,20070620,000000,15720.0000,15770.0000,15720.0000,15770.0000,202860,0
FPT,D,20070621,000000,15770.0000,15770.0000,15460.0000,15460.0000,151020,0
FPT,D,20070622,000000,15460.0000,15460.0000,15210.0000,15210.0000,301720,0
FPT,D,20070625,000000,15930.0000,15930.0000,15930.0000,15930.0000,171530,0
FPT,D,20070626,000000,16700.0000,16700.0000,16700.0000,16700.0000,218550,0
FPT,D,20070627,000000,17270.0000,17270.0000,16030.0000,16030.0000,476910,0
FPT,D,20070628,000000,15980.0000,15980.0000,15880.0000,15880.0000,184710,0
FPT,D,20070629,000000,15820.0000,15820.0000,15820.0000,15820.0000,137240,0
FPT,D,20070702,000000,15460.0000,15570.0000,15460.0000,15570.0000,294210,0
FPT,D,20070703,000000,15620.0000,15620.0000,15620.0000,15620.0000,219630,0
FPT,D,20070704,000000,15980.0000,16080.0000,15980.0000,16080.0000,164890,0
FPT,D,20070705,000000,15720.0000,15980.0000,15720.0000,15980.0000,201110,0
FPT,D,20070706,000000,15820.0000,15880.0000,15820.0000,15880.0000,57070,0
FPT,D,20070709,000000,15720.0000,15880.0000,15720.0000,15880.0000,136810,0
FPT,D,20070710,000000,15820.0000,15880.0000,15820.0000,15880.0000,86160,0
FPT,D,20070711,000000,15980.0000,15980.0000,15880.0000,15880.0000,73500,0
FPT,D,20070712,000000,15880.0000,15880.0000,15770.0000,15770.0000,79290,0
FPT,D,20070713,000000,15460.0000,15460.0000,15410.0000,15410.0000,957580,0
FPT,D,20070716,000000,15000.0000,15000.0000,14950.0000,14950.0000,374810,0
FPT,D,20070717,000000,14950.0000,14950.0000,14950.0000,14950.0000,464320,0
FPT,D,20070718,000000,14950.0000,14950.0000,14840.0000,14840.0000,532830,0
FPT,D,20070719,000000,14840.0000,14840.0000,14690.0000,14690.0000,170180,0
FPT,D,20070720,000000,14740.0000,14740.0000,14590.0000,14590.0000,339690,0
FPT,D,20070723,000000,14380.0000,14380.0000,14020.0000,14020.0000,246160,0
FPT,D,20070724,000000,14050.0000,14050.0000,13790.0000,13790.0000,375620,0
FPT,D,20070725,000000,13430.0000,13430.0000,13170.0000,13170.0000,411820,0
FPT,D,20070726,000000,12910.0000,12910.0000,12910.0000,12910.0000,393930,0
FPT,D,20070727,000000,12910.0000,12910.0000,12910.0000,12910.0000,373240,0
FPT,D,20070730,000000,13070.0000,13280.0000,13070.0000,13070.0000,284820,0
FPT,D,20070731,000000,12910.0000,13020.0000,12500.0000,12660.0000,323490,0
FPT,D,20070801,000000,12400.0000,12660.0000,12290.0000,12400.0000,448440,0
FPT,D,20070802,000000,12290.0000,12400.0000,11780.0000,11780.0000,336310,0
